[100, 110, 97, 40, 93]
[90, 99, 69, 66, 45]
[107, 15, 60, 79, 63]
[86, 60, 121, 106, 44]
[66, 95, 114, 55, 74]
[90, 54, 110, 49, 104]
[86, 97, 64, 74, 93]
[66, 106, 97, 86, 95]
[30, 31, 19, 114, 82]
[90, 81, 19, 10, 70]
[53, 86, 60, 10, 45]
[53, 106, 19, 38, 114]
[85, 121, 81, 69, 56]
[103, 23, 64, 38, 44]
[107, 33, 5, 8, 96]
[79, 109, 19, 120, 64]
[51, 66, 95, 55, 120]
[18, 55, 15, 87, 79]
[58, 114, 97, 41, 79]
[18, 15, 111, 95, 13]
[50, 18, 8, 33, 29]
[81, 111, 86, 8, 15]
[90, 97, 95, 19, 45]
[97, 44, 86, 45, 120]
[121, 69, 107, 48, 13]
[31, 86, 54, 70, 23]
[50, 81, 111, 94, 106]
[50, 96, 86, 98, 109]
[69, 103, 112, 80, 33]
0
[121, 78, 69, 59, 92]
[121, 31, 29, 1, 104]
[107, 76, 112, 33, 10]
[19, 54, 55, 90, 106]
[18, 48, 29, 13, 80]
[19, 27, 114, 75, 33]
[18, 121, 54, 110, 92]
[78, 121, 48, 29, 45]
[31, 54, 71, 55, 25]
[19, 74, 50, 93, 26]
[19, 86, 110, 41, 11]
[19, 15, 111, 29, 44]
[121, 111, 8, 38, 46]
[121, 19, 38, 120, 48]
[90, 106, 114, 78, 111]
[18, 80, 111, 70, 86]
[121, 69, 112, 63, 94]
[97, 54, 86, 3, 106]
[18, 112, 86, 70, 50]
[90, 81, 66, 44, 104]
[79, 81, 31, 1, 59]
[58, 114, 97, 8, 86]
[90, 54, 81, 68, 65]
[81, 90, 86, 8, 39]
[53, 33, 106, 60, 48]
[53, 106, 33, 38, 77]
[90, 95, 62, 86, 22]
[51, 15, 27, 78, 109]
[18, 27, 54, 45, 49]
[31, 38, 54, 45, 39]
[18, 15, 111, 95, 13]
[120, 81, 86, 54, 65]
[121, 31, 81, 8, 13]
[90, 81, 111, 59, 23]
[19, 50, 86, 109, 55]
[100, 90, 81, 98, 44]
[50, 54, 96, 86, 9]
[8, 31, 51, 45, 15]
[87, 54, 60, 90, 39]
[50, 54, 38, 110, 76]
[48, 18, 86, 13, 77]
[103, 111, 80, 98, 13]
[18, 54, 50, 19, 103]
[100, 76, 50, 54, 16]
[18, 55, 27, 48, 114]
[18, 54, 90, 19, 66]
[38, 110, 31, 41, 23]
[121, 69, 48, 18, 25]
[60, 79, 103, 80, 25]
[19, 111, 55, 109, 49]
[100, 55, 18, 63, 59]
[18, 48, 15, 3, 60]
[19, 120, 112, 109, 53]
[27, 38, 90, 76, 114]
[90, 55, 71, 95, 106]
[27, 38, 64, 11, 95]
[107, 11, 90, 69, 63]
[94, 19, 90, 29, 13]
[97, 111, 120, 44, 65]
[18, 79, 103, 94, 70]
[107, 76, 54, 90, 104]
[107, 54, 87, 45, 69]
[52, 8, 31, 90, 81]
[81, 85, 65, 1, 108]
[8, 121, 120, 27, 108]
[18, 31, 38, 7, 95]
[26, 100, 99, 81, 35]
[19, 69, 112, 76, 18]
[54, 18, 64, 13, 38]
[31, 69, 120, 100, 48]
[18, 11, 13, 54, 86]
[112, 75, 54, 99, 76]
[18, 27, 54, 55, 56]
[19, 31, 97, 114, 102]
[31, 81, 96, 114, 108]
[107, 45, 31, 54, 98]
[19, 29, 5, 23, 1]
[121, 107, 108, 109, 74]
[109, 111, 100, 65, 15]
[23, 29, 26, 8, 35]
[95, 103, 27, 102, 25]
[79, 19, 8, 38, 106]
[103, 33, 49, 65, 54]
[90, 38, 100, 80, 13]
[48, 53, 57, 54, 39]
[31, 81, 103, 41, 49]
[18, 54, 103, 23, 31]
[18, 90, 26, 70, 92]
[90, 78, 64, 89, 50]
[78, 27, 38, 92, 114]
[110, 78, 54, 3, 81]
[121, 8, 14, 96, 114]
[121, 96, 69, 8, 86]
[31, 8, 51, 38, 45]
[31, 121, 60, 54, 65]
[31, 28, 84, 41, 35]
[79, 64, 44, 38, 36]
[19, 5, 74, 114, 36]
[31, 8, 19, 120, 78]
